symbol,variety,exchange,interval,interval_label,status,coverage_full,coverage_start,coverage_end,provider_start,provider_end,actual_start,actual_end,bar_count,golden_crosses,death_crosses,ice_points,sig_long,sig_short,resonance_long,resonance_short
UR0,尿素,郑商所,60m,60分钟,ok,True,True,True,2025-07-15 11:15:00,2026-08-03 15:00:00,2026-01-05 10:00:00,2026-07-31 15:00:00,556,29,29,12,0,0,0,0
UR0,尿素,郑商所,90m,90分钟,ok,True,True,True,2025-03-11 10:45:00,2026-08-03 15:00:00,2026-01-05 10:45:00,2026-07-31 15:00:00,417,22,23,11,0,1,0,0
UR0,尿素,郑商所,daily,日线,ok,True,True,True,2019-08-09,2026-08-03,2026-01-05,2026-07-31,139,8,8,4,1,0,0,0
V0,PVC,大商所,120m,120分钟,ok,True,True,True,2025-03-06 11:15:00,2026-08-03 23:00:00,2026-01-05 11:15:00,2026-07-31 23:00:00,413,19,20,9,0,1,0,0
V0,PVC,大商所,30m,30分钟,ok,False,False,True,2026-03-27 22:00:00,2026-08-03 23:00:00,2026-03-27 22:00:00,2026-07-31 23:00:00,1011,60,59,30,1,5,0,1
V0,PVC,大商所,60m,60分钟,ok,True,True,True,2025-11-17 23:00:00,2026-08-03 23:00:00,2026-01-05 10:00:00,2026-07-31 23:00:00,826,55,55,30,1,0,1,0
V0,PVC,大商所,90m,90分钟,ok,True,True,True,2025-07-14 10:00:00,2026-08-04 10:00:00,2026-01-05 10:00:00,2026-07-31 22:30:00,552,31,32,15,0,0,0,0
V0,PVC,大商所,daily,日线,ok,True,True,True,2009-05-25,2026-08-03,2026-01-05,2026-07-31,139,8,9,4,0,0,0,0
WR0,线材,上期所,120m,120分钟,ok,False,True,False,2023-06-28 15:00:00,2026-04-22 15:00:00,2026-01-22 15:00:00,2026-04-22 15:00:00,19,1,2,1,0,0,0,0
WR0,线材,上期所,30m,30分钟,ok,False,True,False,2024-12-23 11:15:00,2026-04-22 14:45:00,2026-01-22 13:45:00,2026-04-22 14:45:00,44,3,4,3,0,0,0,0
WR0,线材,上期所,60m,60分钟,ok,False,True,False,2024-06-28 15:00:00,2026-04-22 14:15:00,2026-01-22 14:15:00,2026-04-22 14:15:00,27,2,3,2,0,0,0,0
WR0,线材,上期所,90m,90分钟,ok,False,True,False,2024-03-01 10:45:00,2026-04-22 14:15:00,2026-01-22 14:15:00,2026-04-22 14:15:00,24,1,2,1,0,0,0,0
WR0,线材,上期所,daily,日线,ok,False,True,False,2009-03-27,2026-04-22,2026-01-22,2026-04-22,15,1,2,1,0,0,0,0
Y0,豆油,大商所,120m,120分钟,ok,True,True,True,2025-03-06 11:15:00,2026-08-03 23:00:00,2026-01-05 11:15:00,2026-07-31 23:00:00,413,29,30,14,0,0,0,0
Y0,豆油,大商所,30m,30分钟,ok,False,False,True,2026-03-27 22:00:00,2026-08-03 23:00:00,2026-03-27 22:00:00,2026-07-31 23:00:00,1011,53,53,26,2,2,1,0
Y0,豆油,大商所,60m,60分钟,ok,True,True,True,2025-11-17 23:00:00,2026-08-03 23:00:00,2026-01-05 10:00:00,2026-07-31 23:00:00,826,55,54,28,0,1,0,0
Y0,豆油,大商所,90m,90分钟,ok,True,True,True,2025-07-14 10:00:00,2026-08-04 10:00:00,2026-01-05 10:00:00,2026-07-31 22:30:00,552,41,43,20,0,1,0,0
Y0,豆油,大商所,daily,日线,ok,True,True,True,2006-01-09,2026-08-03,2026-01-05,2026-07-31,139,10,10,5,0,0,0,0
ZN0,沪锌,上期所,120m,120分钟,ok,True,True,True,2025-07-30 15:00:00,2026-08-03 23:00:00,2026-01-05 11:15:00,2026-07-31 23:00:00,577,38,38,18,1,1,1,0
ZN0,沪锌,上期所,30m,30分钟,ok,False,False,True,2026-04-29 01:00:00,2026-08-03 23:00:00,2026-04-29 01:00:00,2026-07-31 23:30:00,1008,52,50,25,2,0,1,0
ZN0,沪锌,上期所,60m,60分钟,ok,False,False,True,2026-01-19 23:00:00,2026-08-03 23:00:00,2026-01-19 23:00:00,2026-07-31 23:00:00,1015,65,66,32,1,2,0,1
ZN0,沪锌,上期所,90m,90分钟,ok,True,True,True,2025-11-25 00:00:00,2026-08-04 00:00:00,2026-01-05 09:30:00,2026-07-31 22:30:00,849,52,52,23,0,3,0,2
ZN0,沪锌,上期所,daily,日线,ok,True,True,True,2007-03-26,2026-08-03,2026-01-05,2026-07-31,139,9,9,5,0,1,0,0
